File,Result
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/_raw_spin_unlock, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/_raw_spin_lock_irqsave, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/_raw_spin_trylock_bh, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/_raw_spin_lock_irq, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/_raw_spin_trylock, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/_raw_spin_lock, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/_raw_spin_lock_bh, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/htab_map_update_elem, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/__htab_percpu_map_update_elem, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/htab_map_alloc, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/syscall_tp_kern.o:tracepoint/syscalls/sys_enter_open,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/syscall_tp_kern.o:tracepoint/syscalls/sys_exit_open,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/task_fd_query_kern.o:kprobe/blk_start_request, unsafe
